model_name,cv_folds,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,rows,num_classes
decision_tree,10,0.9421052631578947,0.023181805837416046,0.897501145513974,0.04317754106643947,0.9431775228980133,0.0208663378789231,950,3
sgd_classifier_hinge,10,0.9326315789473684,0.023631520337519633,0.8617534782098643,0.03974460820567707,0.9325528705189626,0.023054517874026934,950,3
ridge_classifier,10,0.9284210526315789,0.020411283610174004,0.8581078776346889,0.03522324549010333,0.9289751475208892,0.02152423648094065,950,3
linear_svc_raw,10,0.9315789473684211,0.012675362714518195,0.8522366369818719,0.026149050706894224,0.9297784735132792,0.01323195840890818,950,3
sgd_classifier_log_loss,10,0.928421052631579,0.01547046153336743,0.8421415646447364,0.02727508305279057,0.9257693273884428,0.016586198797020228,950,3
linear_svc_calibrated,10,0.9231578947368421,0.010578816443285137,0.8267797609561368,0.02087156692020174,0.9198520852099772,0.011818043841333042,950,3
extra_trees,10,0.9136842105263158,0.027368421052631584,0.8061894028461442,0.08187577693535895,0.9076752315732557,0.03293487728564854,950,3
logistic_regression,10,0.894736842105263,0.02535072542903641,0.8047873797262539,0.035827779834406576,0.8977704641809394,0.02513546167216193,950,3
random_forest,10,0.9073684210526316,0.03006917233070672,0.7972540509478249,0.06462043883643367,0.9010582574603472,0.031823046195197775,950,3
knn_5,10,0.8694736842105263,0.03268247304475794,0.7612381605410912,0.06404954715926404,0.8657067761140805,0.03560236968414829,950,3
complement_nb,10,0.8642105263157894,0.019664780728704662,0.7274929701644977,0.03802769812512872,0.8537638529617377,0.021396073302720163,950,3
bernoulli_nb,10,0.828421052631579,0.030161155330304005,0.7063202987263034,0.040576644851479576,0.8206198539853486,0.03289323605846379,950,3
multinomial_nb,10,0.848421052631579,0.0290953157075479,0.6116299597945387,0.05729805099869202,0.8177930394508195,0.033487228782569364,950,3
